trial_order,trial_id,run_id,true_category,expected_class,source_td_a01_trial_id,source_pilot2_trial_id,review_id,source_parent_gain_db,adjustment_db,target_parent_gain_db,active_frames,required_active_frames,activity_pass,audibility_rating,audibility_pass,qualified,operator_note,classification_scored,sha256,raw_log_path
1,TD2-001,RUN-20260807-205725,clapping,out_of_distribution,TD-004,P2-017,P2S-006,-15.0,-3.0,-18.0,12,3,True,comfortable,True,True,,False,e204b396d45f4a27e14c8c981ec9144a8c413589d43b76253889e962a44fa407,experiments/raw/RUN-20260807-205725.txt
2,TD2-002,RUN-20260807-205754,door_wood_knock,out_of_distribution,TD-001,P2-022,P2S-010,-15.0,2.0,-13.0,3,3,True,too_loud_or_distorted,False,False,,False,28ac51b3e9bad52096c66ed2b7c1a02b2a85c368ba54be74855497a1f9d49cb3,experiments/raw/RUN-20260807-205754.txt
3,TD2-003,RUN-20260807-205821,gunshot_gunfire,gunshot_gunfire,TD-011,P2-027,P2R-018,8.0,2.0,10.0,9,3,True,comfortable,True,True,,False,696ad207e4565bac0f4515228f1537bfcc27674037633d5ba7ebd408bbec9485,experiments/raw/RUN-20260807-205821.txt
4,TD2-004,RUN-20260807-205845,clock_tick,out_of_distribution,TD-005,P2-013,P2S-013,-15.0,3.0,-12.0,0,3,False,comfortable,True,False,,False,2a6770d991e1959143ebc72c078edc1c2c020139e2549a091c5b92704ced591b,experiments/raw/RUN-20260807-205845.txt
5,TD2-005,RUN-20260807-205910,rain,out_of_distribution,TD-009,P2-015,P2A-001,-15.0,2.0,-13.0,8,3,True,too_loud_or_distorted,False,False,too loud,False,ce0dcdbc051064b1f5e09f8f2626fa1299097ec94464d769a9ec12b9b9d518bf,experiments/raw/RUN-20260807-205910.txt
