class_name,precision,recall,f1_score,support,correct
background_other,0.7666666666666667,0.23958333333333334,0.36507936507936506,96,23
dog_bark,0.6857142857142857,0.8,0.7384615384615385,60,48
glass_breaking,0.7123287671232876,0.8666666666666667,0.7819548872180451,60,52
gunshot_gunfire,0.8888888888888888,0.8888888888888888,0.8888888888888888,54,48
siren,0.5,0.9,0.6428571428571429,20,18
speech,0.5714285714285714,0.5,0.5333333333333333,24,12
thunderstorm,0.6555555555555556,0.9833333333333333,0.7866666666666666,60,59
