hazard_threshold,hazard_detection_recall,hazard_detection_macro_recall,minimum_hazard_class_recall,background_rejection_rate,background_false_alert_rate,speech_rejection_rate,cascade_hazard_exact_accuracy,cascade_hazard_exact_macro_recall,cascade_overall_accuracy
0.665,0.8186813186813187,0.8161111111111111,0.7222222222222222,0.7416666666666667,0.25833333333333336,0.9166666666666666,0.7912087912087912,0.7924074074074074,0.7715231788079471
0.67,0.8131868131868132,0.8127777777777778,0.7222222222222222,0.7416666666666667,0.25833333333333336,0.9166666666666666,0.7857142857142857,0.789074074074074,0.7682119205298014
0.675,0.8076923076923077,0.8090740740740742,0.7037037037037037,0.7583333333333333,0.24166666666666667,0.9166666666666666,0.7802197802197802,0.7853703703703704,0.7715231788079471
0.68,0.7967032967032966,0.8007407407407408,0.7037037037037037,0.7666666666666667,0.23333333333333334,0.9583333333333334,0.7692307692307693,0.777037037037037,0.7682119205298014
0.685,0.7747252747252747,0.7833333333333333,0.6666666666666666,0.7666666666666667,0.23333333333333334,0.9583333333333334,0.7472527472527473,0.7596296296296295,0.7549668874172185
0.69,0.7747252747252747,0.7833333333333333,0.6666666666666666,0.7833333333333333,0.21666666666666667,1.0,0.7472527472527473,0.7596296296296295,0.7615894039735099
0.695,0.7637362637362637,0.7762962962962963,0.6481481481481481,0.7833333333333333,0.21666666666666667,1.0,0.7362637362637363,0.7525925925925926,0.7549668874172185
0.7,0.7527472527472527,0.7625925925925926,0.6296296296296297,0.7833333333333333,0.21666666666666667,1.0,0.7252747252747253,0.7388888888888888,0.7483443708609272
0.705,0.7417582417582418,0.7492592592592593,0.6296296296296297,0.7833333333333333,0.21666666666666667,1.0,0.7142857142857143,0.7255555555555555,0.7417218543046358
0.71,0.7307692307692307,0.7422222222222222,0.6111111111111112,0.7833333333333333,0.21666666666666667,1.0,0.7032967032967034,0.7185185185185186,0.7350993377483444
0.715,0.7197802197802198,0.7348148148148148,0.5740740740740741,0.7916666666666666,0.20833333333333334,1.0,0.6923076923076923,0.711111111111111,0.7317880794701986
0.72,0.7142857142857143,0.7314814814814815,0.5740740740740741,0.8,0.2,1.0,0.6868131868131868,0.7077777777777777,0.7317880794701986
