experiment_id,recorded_at,model_name,backbone,total_parameters,trainable_parameters,class_count,class_names,dataset,train_split,validation_split,test_split,training_epochs,training_runtime_s,final_train_accuracy,final_validation_accuracy,float_patch_accuracy,float_clip_accuracy,quantized_patch_accuracy,quantized_clip_accuracy,test_clips,correct_clips,incorrect_clips,macro_precision,macro_recall,macro_f1,quantized_model_bytes,model_sha256,test_split_sha256,status,notes
USEFUL10-YAMNET256-FOLD5-001,2026-07-26T16:08:00+02:00,useful10_yamnet256,YAMNet-256,137674,2570,10,chainsaw|clapping|coughing|crackling_fire|crying_baby|dog|door_wood_knock|footsteps|glass_breaking|siren,ESC-50,folds 1-3 (240 clips),fold 4 (80 clips),fold 5 (80 clips),50,46,0.8794143199920654,0.8317072987556458,0.7949,0.875,0.7848101265822784,0.875,80,70,10,0.8923809523809524,0.875,0.8777404295051354,185416,979fd950929c50af84e18bafbd99683a3f27da89d4cfb6b9acae2e9f656f70f8,7d2d8e57c2e3870015fee4d54c554445357dd8bde678b0bd4d9df6d889e1c48a,stm32n6_hardware_validated,STEdgeAI 4.0.1 generated 149729-byte Neural-ART weights; firmware built signed flashed and verified; idle run passed and the first uncontrolled live clapping run produced 18 target 4 wrong-class and 6 unknown decisions across 28 active frames
HAZARD5R-BG2X-YAMNET256-DEV-001,2026-08-01T23:35:00+02:00,hazard5r_bg2x_yamnet256,YAMNet-256,136646,1542,6,background_other|chainsaw|gunshot_gunfire|screaming|siren|thunderstorm,ESC-50 and FSD50K development,960 hazard plus 384 background rows,182 hazard plus 120 background rows,development validation alias; reserved external test untouched,44,261,0.8303903937339783,0.782863199710846,0.7866,0.8377,0.7908461947844598,0.8543046357615894,302,258,44,0.8194005680446358,0.862037037037037,0.8344870282735211,184280,dd8aab6e1685efa6ef29b49305e781d4c8ea437a568434ff1372af44ef210a4c,39ccffadd54975f53950465f97bf79cc1f937f93a69b261d828443ae54cd586d,rejected_development_gate,Speech rejection was 100 percent but no calibrated point reached both 94 percent hazard macro recall and 95 percent speech rejection; not deployed
HAZARD5R-BAL-YAMNET256-DEV-002,2026-08-01T23:47:00+02:00,hazard5r_balanced_yamnet256,YAMNet-256,136646,1542,6,background_other|chainsaw|gunshot_gunfire|screaming|siren|thunderstorm,ESC-50 and FSD50K development,960 hazard plus 192 background rows,182 hazard plus 120 background rows,development validation alias; reserved external test untouched,38,188,0.8410235643386841,0.7216604351997375,0.7472,0.7815,0.7551889302820649,0.7781456953642384,302,235,67,0.728274211168948,0.850462962962963,0.7644616434743927,184280,93e9a313021035c54db5cd0552e05f864aee096b2c88f7c759b89f76de68d6ac,39ccffadd54975f53950465f97bf79cc1f937f93a69b261d828443ae54cd586d,rejected_development_gate,Hazard accuracy recovered but speech rejection fell to 83.33 percent and background rejection to 56.67 percent; cascade selected next
