glass_score_factor,correct_clips,clip_accuracy,macro_f1,hazard_macro_recall,hazard_macro_recall_loss,minimum_hazard_recall,glass_recall,other_recall,gate_passed
1.0,333,0.8062953995157385,0.8056333039098735,0.8634259259259259,0.03811728395061742,0.6833333333333333,0.6833333333333333,0.725925925925926,False
1.025,334,0.8087167070217918,0.8076883601321586,0.8662037037037037,0.03533950617283965,0.7,0.7,0.725925925925926,True
1.05,333,0.8062953995157385,0.8059949656150392,0.8662037037037037,0.03533950617283965,0.7,0.7,0.7185185185185186,True
1.075,334,0.8087167070217918,0.8080174374081375,0.8689814814814815,0.032561728395061884,0.7166666666666667,0.7166666666666667,0.7185185185185186,True
1.1,334,0.8087167070217918,0.8080174374081375,0.8689814814814815,0.032561728395061884,0.7166666666666667,0.7166666666666667,0.7185185185185186,True
1.125,336,0.8135593220338984,0.8126531889520405,0.874537037037037,0.02700617283950635,0.75,0.75,0.7185185185185186,True
1.15,337,0.8159806295399515,0.8145995408893396,0.8773148148148149,0.02422839506172847,0.7666666666666667,0.7666666666666667,0.7185185185185186,True
1.175,337,0.8159806295399515,0.8145995408893396,0.8773148148148149,0.02422839506172847,0.7666666666666667,0.7666666666666667,0.7185185185185186,True
1.2,337,0.8159806295399515,0.8145995408893396,0.8773148148148149,0.02422839506172847,0.7666666666666667,0.7666666666666667,0.7185185185185186,True
1.225,338,0.8184019370460048,0.8184602565081739,0.8800925925925926,0.0214506172839507,0.7833333333333333,0.7833333333333333,0.7185185185185186,True
1.25,338,0.8184019370460048,0.8184602565081739,0.8800925925925926,0.0214506172839507,0.7833333333333333,0.7833333333333333,0.7185185185185186,True
