label,experiment_id,clip_accuracy,macro_recall,model_bytes,test_clips
Fire/glass closed,HAZARD5V2-YAMNET256-DEV-001,0.8869565217391304,0.8914814814814814,184000,230
Dog/glass closed,HAZARD5V3-YAMNET256-DEV-001,0.8858267716535433,0.8881481481481481,184000,254
Dog/glass 512,HAZARD5V3-YAMNET512-DEV-002,0.25196850393700787,0.35333333333333333,1846128,254
Dog/glass + background,HAZARD5V3R-BG2X-YAMNET256-DEV-001,0.7887700534759359,0.8148148148148149,184280,374
Dog/glass + speech split,HAZARD5V3R-SPLIT-SPEECH-YAMNET256-DEV-003,0.6951871657754011,0.7397817460317461,184568,374
