class,threshold,target_trials_passed,class_false_alert_ood_trials,class_false_alert_speech_trials,class_confusion_other_hazard_trials,overall_positive_passed,overall_ood_passed
glass_breaking,0.61,1,0,0,0,13,3
glass_breaking,0.62,1,0,0,0,13,3
glass_breaking,0.63,1,0,0,0,13,3
glass_breaking,0.64,1,0,0,0,13,3
glass_breaking,0.65,1,0,0,0,13,3
glass_breaking,0.66,1,0,0,0,13,3
glass_breaking,0.67,1,0,0,0,13,3
glass_breaking,0.68,1,0,0,0,13,3
glass_breaking,0.69,1,0,0,0,13,3
glass_breaking,0.7,1,0,0,0,13,3
glass_breaking,0.71,1,0,0,0,13,3
glass_breaking,0.72,1,0,0,0,13,3
glass_breaking,0.73,1,0,0,0,13,3
glass_breaking,0.74,1,0,0,0,13,3
glass_breaking,0.75,0,0,0,0,12,3
glass_breaking,0.76,0,0,0,0,12,3
glass_breaking,0.77,0,0,0,0,12,3
glass_breaking,0.78,0,0,0,0,12,3
glass_breaking,0.79,0,0,0,0,12,3
glass_breaking,0.8,0,0,0,0,12,3
glass_breaking,0.81,0,0,0,0,12,3
glass_breaking,0.82,0,0,0,0,12,3
glass_breaking,0.83,0,0,0,0,12,3
glass_breaking,0.84,0,0,0,0,12,3
glass_breaking,0.85,0,0,0,0,12,3
glass_breaking,0.86,0,0,0,0,12,3
glass_breaking,0.87,0,0,0,0,12,3
glass_breaking,0.88,0,0,0,0,12,3
glass_breaking,0.89,0,0,0,0,12,3
glass_breaking,0.9,0,0,0,0,12,3
glass_breaking,0.91,0,0,0,0,12,3
glass_breaking,0.92,0,0,0,0,12,3
glass_breaking,0.93,0,0,0,0,12,3
glass_breaking,0.94,0,0,0,0,12,3
glass_breaking,0.95,0,0,0,0,12,3
glass_breaking,0.96,0,0,0,0,12,3
glass_breaking,0.97,0,0,0,0,12,3
glass_breaking,0.98,0,0,0,0,12,3
glass_breaking,0.99,0,0,0,0,12,3
glass_breaking,1.0,0,0,0,0,12,3
gunshot_gunfire,0.2,4,2,0,0,17,2
gunshot_gunfire,0.21,4,2,0,0,17,2
gunshot_gunfire,0.22,4,2,0,0,17,2
gunshot_gunfire,0.23,4,2,0,0,17,2
gunshot_gunfire,0.24,4,2,0,0,17,2
gunshot_gunfire,0.25,4,2,0,0,17,2
gunshot_gunfire,0.26,4,2,0,0,17,2
gunshot_gunfire,0.27,4,2,0,0,17,2
gunshot_gunfire,0.28,4,2,0,0,17,2
gunshot_gunfire,0.29,4,2,0,0,17,2
gunshot_gunfire,0.3,4,2,0,0,17,2
gunshot_gunfire,0.31,4,2,0,0,17,2
gunshot_gunfire,0.32,4,2,0,0,17,2
gunshot_gunfire,0.33,4,2,0,0,17,2
gunshot_gunfire,0.34,4,2,0,0,17,2
gunshot_gunfire,0.35,3,2,0,0,16,2
gunshot_gunfire,0.36,2,2,0,0,15,2
gunshot_gunfire,0.37,2,2,0,0,15,2
gunshot_gunfire,0.38,2,2,0,0,15,2
gunshot_gunfire,0.39,2,2,0,0,15,2
gunshot_gunfire,0.4,2,2,0,0,15,2
gunshot_gunfire,0.41,1,2,0,0,14,2
gunshot_gunfire,0.42,1,2,0,0,14,2
gunshot_gunfire,0.43,1,0,0,0,14,3
gunshot_gunfire,0.44,1,0,0,0,14,3
gunshot_gunfire,0.45,1,0,0,0,14,3
gunshot_gunfire,0.46,1,0,0,0,14,3
gunshot_gunfire,0.47,1,0,0,0,14,3
gunshot_gunfire,0.48,1,0,0,0,14,3
gunshot_gunfire,0.49,1,0,0,0,14,3
gunshot_gunfire,0.5,1,0,0,0,14,3
gunshot_gunfire,0.51,1,0,0,0,14,3
gunshot_gunfire,0.52,1,0,0,0,14,3
gunshot_gunfire,0.53,0,0,0,0,13,3
gunshot_gunfire,0.54,0,0,0,0,13,3
gunshot_gunfire,0.55,0,0,0,0,13,3
gunshot_gunfire,0.56,0,0,0,0,13,3
gunshot_gunfire,0.57,0,0,0,0,13,3
gunshot_gunfire,0.58,0,0,0,0,13,3
gunshot_gunfire,0.59,0,0,0,0,13,3
gunshot_gunfire,0.6,0,0,0,0,13,3
gunshot_gunfire,0.61,0,0,0,0,13,3
gunshot_gunfire,0.62,0,0,0,0,13,3
gunshot_gunfire,0.63,0,0,0,0,13,3
gunshot_gunfire,0.64,0,0,0,0,13,3
gunshot_gunfire,0.65,0,0,0,0,13,3
gunshot_gunfire,0.66,0,0,0,0,13,3
gunshot_gunfire,0.67,0,0,0,0,13,3
gunshot_gunfire,0.68,0,0,0,0,13,3
gunshot_gunfire,0.69,0,0,0,0,13,3
gunshot_gunfire,0.7,0,0,0,0,13,3
gunshot_gunfire,0.71,0,0,0,0,13,3
gunshot_gunfire,0.72,0,0,0,0,13,3
gunshot_gunfire,0.73,0,0,0,0,13,3
gunshot_gunfire,0.74,0,0,0,0,13,3
gunshot_gunfire,0.75,0,0,0,0,13,3
gunshot_gunfire,0.76,0,0,0,0,13,3
gunshot_gunfire,0.77,0,0,0,0,13,3
gunshot_gunfire,0.78,0,0,0,0,13,3
gunshot_gunfire,0.79,0,0,0,0,13,3
gunshot_gunfire,0.8,0,0,0,0,13,3
